date,type,v1,year,month,Mt
1997-01-01,total,24,1997,1,27.280001
1997-01-01,windsolarandhydro,24,1997,1,0
1997-02-01,bioenergywaste,25,1997,2,.16
1997-02-01,coal,25,1997,2,2.8299999
1997-02-01,natural,25,1997,2,8.6199999
1997-02-01,nuclear,25,1997,2,1.92
1997-02-01,petroleum,25,1997,2,11.32
1997-02-01,total,25,1997,2,24.85
1997-02-01,windsolarandhydro,25,1997,2,0
1997-03-01,bioenergywaste,26,1997,3,.16
1997-03-01,coal,26,1997,3,3.3499999
1997-03-01,natural,26,1997,3,8.0500002
1997-03-01,nuclear,26,1997,3,2.1400001
1997-03-01,petroleum,26,1997,3,12.16
1997-03-01,total,26,1997,3,25.860001
1997-03-01,windsolarandhydro,26,1997,3,0
1997-04-01,bioenergywaste,27,1997,4,.16
1997-04-01,coal,27,1997,4,2.5599999
1997-04-01,natural,27,1997,4,6.9899998
1997-04-01,nuclear,27,1997,4,1.77
1997-04-01,petroleum,27,1997,4,11.61
1997-04-01,total,27,1997,4,23.09
1997-04-01,windsolarandhydro,27,1997,4,0
1997-05-01,bioenergywaste,28,1997,5,.16
1997-05-01,coal,28,1997,5,2.48
1997-05-01,natural,28,1997,5,6.0100002
1997-05-01,nuclear,28,1997,5,1.85
1997-05-01,petroleum,28,1997,5,10.57
1997-05-01,total,28,1997,5,21.07
1997-05-01,windsolarandhydro,28,1997,5,0
1997-06-01,bioenergywaste,29,1997,6,.16
1997-06-01,coal,29,1997,6,2.8099999
1997-06-01,natural,29,1997,6,5.3200002
1997-06-01,nuclear,29,1997,6,2.1099999
1997-06-01,petroleum,29,1997,6,9.9300003
1997-06-01,total,29,1997,6,20.33
1997-06-01,windsolarandhydro,29,1997,6,0
1997-07-01,bioenergywaste,30,1997,7,.16
1997-07-01,coal,30,1997,7,2.4100001
1997-07-01,natural,30,1997,7,5.1900001
1997-07-01,nuclear,30,1997,7,1.6900001
1997-07-01,petroleum,30,1997,7,11.69
1997-07-01,total,30,1997,7,21.139999
1997-07-01,windsolarandhydro,30,1997,7,0
1997-08-01,bioenergywaste,31,1997,8,.16
1997-08-01,coal,31,1997,8,1.73
1997-08-01,natural,31,1997,8,4.8299999
1997-08-01,nuclear,31,1997,8,1.6
1997-08-01,petroleum,31,1997,8,11.48
1997-08-01,total,31,1997,8,19.799999
1997-08-01,windsolarandhydro,31,1997,8,0
1997-09-01,bioenergywaste,32,1997,9,.16
1997-09-01,coal,32,1997,9,2.71
1997-09-01,natural,32,1997,9,5.1900001
1997-09-01,nuclear,32,1997,9,1.78
1997-09-01,petroleum,32,1997,9,11.39
1997-09-01,total,32,1997,9,21.23
1997-09-01,windsolarandhydro,32,1997,9,0
1997-10-01,bioenergywaste,33,1997,10,.16
1997-10-01,coal,33,1997,10,2.28
1997-10-01,natural,33,1997,10,7.27
1997-10-01,nuclear,33,1997,10,1.48
1997-10-01,petroleum,33,1997,10,12.59
1997-10-01,total,33,1997,10,23.780001
1997-10-01,windsolarandhydro,33,1997,10,0
1997-11-01,bioenergywaste,34,1997,11,.16
1997-11-01,coal,34,1997,11,2.3599999
1997-11-01,natural,34,1997,11,8.6400003
1997-11-01,nuclear,34,1997,11,1.76
1997-11-01,petroleum,34,1997,11,11.95
1997-11-01,total,34,1997,11,24.870001
1997-11-01,windsolarandhydro,34,1997,11,0
1997-12-01,bioenergywaste,35,1997,12,.16
1997-12-01,coal,35,1997,12,2.5599999
1997-12-01,natural,35,1997,12,9.4200001
1997-12-01,nuclear,35,1997,12,2.05
1997-12-01,petroleum,35,1997,12,13.04
1997-12-01,total,35,1997,12,27.23
1997-12-01,windsolarandhydro,35,1997,12,0
1998-01-01,bioenergywaste,36,1998,1,.17
1998-01-01,coal,36,1998,1,1.78
1998-01-01,natural,36,1998,1,9.6999998
1998-01-01,nuclear,36,1998,1,1.99
1998-01-01,petroleum,36,1998,1,12.56
1998-01-01,total,36,1998,1,26.26
1998-01-01,windsolarandhydro,36,1998,1,.059999999
1998-02-01,bioenergywaste,37,1998,2,.17
1998-02-01,coal,37,1998,2,2.25
1998-02-01,natural,37,1998,2,8.1999998
1998-02-01,nuclear,37,1998,2,1.85
1998-02-01,petroleum,37,1998,2,11.27
1998-02-01,total,37,1998,2,23.790001
1998-02-01,windsolarandhydro,37,1998,2,.050000001
1998-03-01,bioenergywaste,38,1998,3,.17
1998-03-01,coal,38,1998,3,2.8399999
1998-03-01,natural,38,1998,3,8.6400003
1998-03-01,nuclear,38,1998,3,2.28
1998-03-01,petroleum,38,1998,3,12.51
1998-03-01,total,38,1998,3,26.51
1998-03-01,windsolarandhydro,38,1998,3,.07
1998-04-01,bioenergywaste,39,1998,4,.17
1998-04-01,coal,39,1998,4,2.04
1998-04-01,natural,39,1998,4,7.8299999
1998-04-01,nuclear,39,1998,4,1.76
1998-04-01,petroleum,39,1998,4,12.11
1998-04-01,total,39,1998,4,23.950001
1998-04-01,windsolarandhydro,39,1998,4,.039999999
1998-05-01,bioenergywaste,40,1998,5,.17
1998-05-01,coal,40,1998,5,2.05
1998-05-01,natural,40,1998,5,5.8899999
1998-05-01,nuclear,40,1998,5,1.71
1998-05-01,petroleum,40,1998,5,11.65
1998-05-01,total,40,1998,5,21.5
1998-05-01,windsolarandhydro,40,1998,5,.029999999
1998-06-01,bioenergywaste,41,1998,6,.17
1998-06-01,coal,41,1998,6,2.3299999
1998-06-01,natural,41,1998,6,5.79
1998-06-01,nuclear,41,1998,6,2.0999999
1998-06-01,petroleum,41,1998,6,11.16
1998-06-01,total,41,1998,6,21.57
1998-06-01,windsolarandhydro,41,1998,6,.02
1998-07-01,bioenergywaste,42,1998,7,.17
1998-07-01,coal,42,1998,7,2.0699999
1998-07-01,natural,42,1998,7,5.21
1998-07-01,nuclear,42,1998,7,1.5
1998-07-01,petroleum,42,1998,7,11.73
1998-07-01,total,42,1998,7,20.700001
1998-07-01,windsolarandhydro,42,1998,7,.02
1998-08-01,bioenergywaste,43,1998,8,.17
1998-08-01,coal,43,1998,8,1.45
1998-08-01,natural,43,1998,8,5.2600002
1998-08-01,nuclear,43,1998,8,1.6900001
1998-08-01,petroleum,43,1998,8,11.96
1998-08-01,total,43,1998,8,20.559999
1998-08-01,windsolarandhydro,43,1998,8,.029999999
1998-09-01,bioenergywaste,44,1998,9,.17
1998-09-01,coal,44,1998,9,2.3099999
1998-09-01,natural,44,1998,9,5.73
1998-09-01,nuclear,44,1998,9,2.22
1998-09-01,petroleum,44,1998,9,12.01
1998-09-01,total,44,1998,9,22.48
1998-09-01,windsolarandhydro,44,1998,9,.039999999
1998-10-01,bioenergywaste,45,1998,10,.17
1998-10-01,coal,45,1998,10,2.0599999
1998-10-01,natural,45,1998,10,7.9400001
1998-10-01,nuclear,45,1998,10,1.8200001
1998-10-01,petroleum,45,1998,10,12.53
1998-10-01,total,45,1998,10,24.549999
1998-10-01,windsolarandhydro,45,1998,10,.029999999
1998-11-01,bioenergywaste,46,1998,11,.17
1998-11-01,coal,46,1998,11,2.1700001
1998-11-01,natural,46,1998,11,9.6999998
1998-11-01,nuclear,46,1998,11,2.0699999
1998-11-01,petroleum,46,1998,11,12.26
1998-11-01,total,46,1998,11,26.43
1998-11-01,windsolarandhydro,46,1998,11,.059999999
1998-12-01,bioenergywaste,47,1998,12,.17
1998-12-01,coal,47,1998,12,2.4100001
1998-12-01,natural,47,1998,12,10.32
1998-12-01,nuclear,47,1998,12,2.45
1998-12-01,petroleum,47,1998,12,13.52
1998-12-01,total,47,1998,12,28.93
1998-12-01,windsolarandhydro,47,1998,12,.059999999
1999-01-01,bioenergywaste,48,1999,1,.19
1999-01-01,coal,48,1999,1,1.51
1999-01-01,natural,48,1999,1,10.49
1999-01-01,nuclear,48,1999,1,2.0599999
1999-01-01,petroleum,48,1999,1,12.82
1999-01-01,total,48,1999,1,27.129999
1999-01-01,windsolarandhydro,48,1999,1,.059999999
1999-02-01,bioenergywaste,49,1999,2,.19
1999-02-01,coal,49,1999,2,2.05
1999-02-01,natural,49,1999,2,9.5299997
1999-02-01,nuclear,49,1999,2,1.9299999
1999-02-01,petroleum,49,1999,2,11.75
1999-02-01,total,49,1999,2,25.5
1999-02-01,windsolarandhydro,49,1999,2,.050000001
1999-03-01,bioenergywaste,50,1999,3,.19
1999-03-01,coal,50,1999,3,2.55
1999-03-01,natural,50,1999,3,9.4700003
1999-03-01,nuclear,50,1999,3,2.1900001
1999-03-01,petroleum,50,1999,3,13.08
1999-03-01,total,50,1999,3,27.540001
1999-03-01,windsolarandhydro,50,1999,3,.059999999
1999-04-01,bioenergywaste,51,1999,4,.19
1999-04-01,coal,51,1999,4,1.77
1999-04-01,natural,51,1999,4,8.21
1999-04-01,nuclear,51,1999,4,1.73
1999-04-01,petroleum,51,1999,4,12.71
1999-04-01,total,51,1999,4,24.66
1999-04-01,windsolarandhydro,51,1999,4,.050000001
1999-05-01,bioenergywaste,52,1999,5,.19
1999-05-01,coal,52,1999,5,1.89
1999-05-01,natural,52,1999,5,6.7800002
1999-05-01,nuclear,52,1999,5,1.83
1999-05-01,petroleum,52,1999,5,12.12
1999-05-01,total,52,1999,5,22.84
1999-05-01,windsolarandhydro,52,1999,5,.029999999
1999-06-01,bioenergywaste,53,1999,6,.19
1999-06-01,coal,53,1999,6,2.27
1999-06-01,natural,53,1999,6,6.1300001
1999-06-01,nuclear,53,1999,6,2.24
1999-06-01,petroleum,53,1999,6,11.38
1999-06-01,total,53,1999,6,22.24
1999-06-01,windsolarandhydro,53,1999,6,.029999999
1999-07-01,bioenergywaste,54,1999,7,.19
1999-07-01,coal,54,1999,7,1.87
1999-07-01,natural,54,1999,7,6.23
1999-07-01,nuclear,54,1999,7,1.6
1999-07-01,petroleum,54,1999,7,12.64
1999-07-01,total,54,1999,7,22.559999
1999-07-01,windsolarandhydro,54,1999,7,.029999999
1999-08-01,bioenergywaste,55,1999,8,.19
1999-08-01,coal,55,1999,8,1.47
1999-08-01,natural,55,1999,8,5.96
1999-08-01,nuclear,55,1999,8,1.6900001
1999-08-01,petroleum,55,1999,8,12.7
1999-08-01,total,55,1999,8,22.030001
1999-08-01,windsolarandhydro,55,1999,8,.02
1999-09-01,bioenergywaste,56,1999,9,.19
1999-09-01,coal,56,1999,9,2.24
1999-09-01,natural,56,1999,9,6.3800001
1999-09-01,nuclear,56,1999,9,1.78
1999-09-01,petroleum,56,1999,9,12.25
1999-09-01,total,56,1999,9,22.870001
1999-09-01,windsolarandhydro,56,1999,9,.029999999
1999-10-01,bioenergywaste,57,1999,10,.19
1999-10-01,coal,57,1999,10,1.89
1999-10-01,natural,57,1999,10,8.5
1999-10-01,nuclear,57,1999,10,1.75
1999-10-01,petroleum,57,1999,10,13.02
1999-10-01,total,57,1999,10,25.389999
1999-10-01,windsolarandhydro,57,1999,10,.039999999
1999-11-01,bioenergywaste,58,1999,11,.19
1999-11-01,coal,58,1999,11,1.78
1999-11-01,natural,58,1999,11,9.9700003
1999-11-01,nuclear,58,1999,11,1.75
1999-11-01,petroleum,58,1999,11,12.94
1999-11-01,total,58,1999,11,26.68
1999-11-01,windsolarandhydro,58,1999,11,.050000001
1999-12-01,bioenergywaste,59,1999,12,.19
1999-12-01,coal,59,1999,12,1.9400001
1999-12-01,natural,59,1999,12,11.46
1999-12-01,nuclear,59,1999,12,1.86
1999-12-01,petroleum,59,1999,12,12.75
1999-12-01,total,59,1999,12,28.27
1999-12-01,windsolarandhydro,59,1999,12,.07
2000-01-01,bioenergywaste,60,2000,1,.19
2000-01-01,coal,60,2000,1,1.11
2000-01-01,natural,60,2000,1,11.16
2000-01-01,nuclear,60,2000,1,1.77
2000-01-01,petroleum,60,2000,1,12.99
2000-01-01,total,60,2000,1,27.290001
2000-01-01,windsolarandhydro,60,2000,1,.07
2000-02-01,bioenergywaste,61,2000,2,.19
2000-02-01,coal,61,2000,2,1.66
2000-02-01,natural,61,2000,2,10.41
2000-02-01,nuclear,61,2000,2,1.63
2000-02-01,petroleum,61,2000,2,11.82
2000-02-01,total,61,2000,2,25.780001
2000-02-01,windsolarandhydro,61,2000,2,.07
2000-03-01,bioenergywaste,62,2000,3,.19
2000-03-01,coal,62,2000,3,2.24
2000-03-01,natural,62,2000,3,10.83
2000-03-01,nuclear,62,2000,3,1.9
2000-03-01,petroleum,62,2000,3,12.67
2000-03-01,total,62,2000,3,27.889999
2000-03-01,windsolarandhydro,62,2000,3,.059999999
2000-04-01,bioenergywaste,63,2000,4,.19
2000-04-01,coal,63,2000,4,1.47
2000-04-01,natural,63,2000,4,10.09
2000-04-01,nuclear,63,2000,4,1.58
2000-04-01,petroleum,63,2000,4,11.7
2000-04-01,total,63,2000,4,25.07
2000-04-01,windsolarandhydro,63,2000,4,.039999999
2000-05-01,bioenergywaste,64,2000,5,.19
2000-05-01,coal,64,2000,5,1.49
2000-05-01,natural,64,2000,5,8.04
2000-05-01,nuclear,64,2000,5,1.66
2000-05-01,petroleum,64,2000,5,10.81
2000-05-01,total,64,2000,5,22.209999
2000-05-01,windsolarandhydro,64,2000,5,.02
2000-06-01,bioenergywaste,65,2000,6,.19
2000-06-01,coal,65,2000,6,2.0599999
2000-06-01,natural,65,2000,6,7.27
2000-06-01,nuclear,65,2000,6,1.63
2000-06-01,petroleum,65,2000,6,11.24
2000-06-01,total,65,2000,6,22.41
2000-06-01,windsolarandhydro,65,2000,6,.02
2000-07-01,bioenergywaste,66,2000,7,.19
